Fatal_Accident_Index,Fatal_Casualty_Type,Fatal_Casualty_Sex,Fatal_Casualty_Age
"2006030003699",HGV_Driver,Male,40
"2006030003702",Car_Driver,Male,18
"2006030003723",Car_Passenger,Male,79
"2006030003738",Car_Driver,Male,59
"2006030003803",Car_Driver,Male,21
"200604AL06049",Car_Driver,Male,68
"200604AL06142",Motor_Cycle_Rider,Male,22
"200604AL06165",Pedestrian,Male,2
"200604AL06180",Motor_Cycle_Rider,Male,20
"200604BA06038",Car_Driver,Male,24
"200604BA06059",Car_Driver,Female,19
"200604BA06069",Motor_Cycle_Rider,Male,30
"200604BA06142",Car_Driver,Male,19
"200604BA06171",Motor_Cycle_Rider,Male,24
"200604BB06065",Pedestrian,Male,17
"200604BB06082",Pedestrian,Male,2
"200604BB06086",Motor_Cycle_Rider,Male,27
"200604BB06105",Pedestrian,Male,61
"200604BB06183",Car_Driver,Male,67
"200604BB06193",Car_Driver,Male,22
"200604BB06193",Car_Passenger,Male,20
"200604BC06075",Car_Passenger,Female,81
"200604BC06127",Car_Passenger,Male,33
"200604CA06001",Motor_Cycle_Rider,Male,51
"200604CA06063",Pedestrian,Male,22
"200604CA06089",Car_Driver,Male,21
"200604CA06089",Car_Passenger,Male,20
"200604CD06018",Pedal Cyclist,Male,14
"200604CH06006",Car_Driver,Male,18
"200604CH06010",Car_Passenger,Male,20
"200604CJ06018",Car_Driver,Male,41
"200604CK06030",Pedestrian,Female,41
"200604CK06088",Motor_Cycle_Rider,Male,35
"200604CK06122",Motor_Cycle_Rider,Male,50
"200604CK06205",Pedestrian,Female,82
"200604CL06003",Motor_Cycle_Rider,Male,17
"200604CL06028",Other_Vehicle_Occupant,Male,79
"200604CL06089",Car_Driver,Male,20
"200604CM06149",Car_Driver,Male,36
"200604CM06178",Car_Passenger,Male,16
"200604CM06181",Pedestrian,Male,61
"200604CM06212",Pedal Cyclist,Female,65
"200604CP06006",Car_Driver,Male,43
"200604DA06031",Pedestrian,Male,28
"200604DF06119",Pedal Cyclist,Male,14
"200604DF06143",Motor_Cycle_Rider,Male,24
"200604DF06206",Car_Driver,Female,46
"200604DL06034",Motor_Cycle_Rider,Male,46
"200604DL06142",Car_Driver,Male,20
"200604DL06147",Other_Vehicle_Occupant,Male,82
"200604DL06148",Pedestrian,Male,39
"200604EA06001",Car_Driver,Male,22
"200604EA06024",Car_Passenger,Female,13
"200604EA06242",Pedestrian,Female,7
"200604EA06408",Pedestrian,Female,81
"200604EB06001",Motor_Cycle_Rider,Male,21
"200604EB06085",Car_Driver,Male,48
"200604EL06012",Pedestrian,Male,74
"200604EN06014",Car_Driver,Male,16
"200604EN06015",Car_Driver,Male,62
"200604EN06090",Car_Driver,Male,23
"200604FB06083",Car_Driver,Male,34
"200604FJ06077",Pedestrian,Male,78
"200604FL06048",Car_Passenger,Female,43
"200604FL06074",Other_Vehicle_Occupant,Male,48
"200604FL06115",Bus_Driver,Male,64
"200604TA06003",Car_Driver,Male,59
"200604TA06121",Van_Driver,Male,31
"200605AA05813",Car_Driver,Female,24
"200605AA08766",Pedestrian,Female,53
"200605AA09028",Motor_Cycle_Rider,Male,54
"200605AA09644",Pedestrian,Male,5
"200605AA10285",Pedestrian,Female,18
"200605AA10468",Pedestrian,Male,3
"200605AA11467",Pedestrian,Male,17
"200605AA11768",Car_Passenger,Female,32
"200605AA12236",Pedestrian,Male,8
"200605AA12371",Motor_Cycle_Rider,Male,17
"200605AA12777",Pedestrian,Male,26
"200605BB04152",Pedestrian,Male,80
"200605BB05755",Pedestrian,Male,88
"200605BB05992",Car_Driver,Male,59
"200605BB07061",Pedestrian,Male,37
"200605BB07617",Car_Driver,Male,27
"200605BB08859",Car_Driver,Male,20
"200605BB10838",Motor_Cycle_Rider,Male,48
"200605BB12673",Pedal Cyclist,Female,83
"200605BB13511",Pedestrian,Female,76
"200605CC04986",Car_Driver,Male,26
"200605CC09181",Pedestrian,Male,19
"200605CC10072",Motor_Cycle_Rider,Male,37
"200605CC10072",Motor_Cycle_Rider,Male,42
"200605CC10397",Car_Driver,Male,25
"200605DD05016",Car_Passenger,Male,18
"200605DD05146",Pedestrian,Female,10
"200605DD06953",Car_Driver,Male,82
"200605DD06953",Car_Passenger,Female,81
"200605DD07746",Car_Passenger,Male,18
"200605DD11642",Motor_Cycle_Rider,Male,17
"200605DD12517",Motor_Cycle_Rider,Male,16
"200605DD13890",Car_Driver,Male,43
"200605EE04177",Pedestrian,Female,84
"200605EE04922",Pedestrian,Female,85
"200605EE05456",Car_Passenger,Female,78
"200605EE05857",Car_Passenger,Male,20
"200605EE06968",Motor_Cycle_Rider,Male,16
"200605EE09917",Pedestrian,Female,10
"200605EE10483",Car_Driver,Male,29
"200605EE11269",Pedestrian,Male,60
"200605EE11292",Pedestrian,Female,48
"200605EE12488",Car_Driver,Female,63
"200605FF04639",Car_Driver,Male,56
"200605FF04956",Pedestrian,Female,74
"200606A047261",Car_Driver,Male,18
"200606A051610",Car_Driver,Male,44
"200606A056598",Pedestrian,Female,57
"200606A058332",Pedestrian,Male,26
"200606A059515",Pedestrian,Female,40
"200606A062088",Pedal Cyclist,Male,35
"200606A062628",Car_Passenger,Male,15
"200606A062628",Car_Passenger,Male,18
"200606A063564",Pedestrian,Male,77
"200606A063745",Car_Passenger,Male,22
"200606B046629",Car_Passenger,Male,77
"200606B056644",Motor_Cycle_Rider,Male,25
"200606B058321",Pedestrian,Female,78
"200606B059834",Car_Passenger,Female,15
"200606B059948",Other_Vehicle_Occupant,Male,27
"200606B063244",Pedestrian,Female,70
"200606C044192",Pedestrian,Male,83
"200606C046638",Pedestrian,Male,69
"200606C048491",Car_Passenger,Female,18
"200606C059939",Pedestrian,Male,72
"200606C061839",Car_Driver,Female,37
"200606F042307",Motor_Cycle_Passenger,Male,20
"200606F048701",Pedal Cyclist,Female,46
"200606F049402",Pedestrian,Male,82
"200606F050970",Motor_Cycle_Rider,Male,22
"200606F051233",Pedestrian,Male,38
"200606F057092",Pedestrian,Female,35
"200606F061811",Pedestrian,Male,40
"200606F061813",Car_Driver,Male,25
"200606G056138",Pedal Cyclist,Male,14
"200606G060330",Pedestrian,Female,3
"200606G063898",Pedestrian,Female,39
"200606IM47925",Car_Driver,Female,20
"200606J043914",Pedestrian,Male,70
"200606J045625",Pedestrian,Male,75
"200606J058320",Pedal Cyclist,Male,10
"200606J061513",Car_Driver,Male,29
"200606K042115",Pedestrian,Female,46
"200606K042965",Pedestrian,Female,44
"200606K044824",Pedestrian,Male,34
"200606K046378",Pedestrian,Male,83
"200606K046724",Car_Driver,Male,28
"200606K051788",Car_Passenger,Male,16
"200606K052289",Other_Vehicle_Occupant,Female,23
"200606K053511",Motor_Cycle_Rider,Male,33
"200606K057439",Other_Vehicle_Occupant,Male,89
"200606K057823",Car_Driver,Male,50
"200606K059750",Pedestrian,Male,83
"200606K062397",Pedestrian,Female,32
"200606K064168",Pedestrian,Male,51
"200606L045855",Pedestrian,Male,16
"200606L049743",Pedal Cyclist,Male,36
"200606L050848",Motor_Cycle_Rider,Male,20
"200606L051301",Other_Vehicle_Occupant,Male,21
"200606L051926",Pedestrian,Male,16
"200606L052752",Pedestrian,Male,20
"200606L053776",Pedestrian,Male,44
"200606L059606",Pedestrian,Female,77
"200606L061590",Motor_Cycle_Rider,Male,33
"200606M043930",Other_Vehicle_Occupant,Female,86
"200606M053697",Car_Driver,Male,26
"200606M057583",Car_Driver,Male,19
"200606M058133",Motor_Cycle_Rider,Male,28
"200606M058462",Pedestrian,Female,82
"200606M059850",Pedestrian,Male,6
"200606N047657",Pedestrian,Female,46
"200606N053381",Pedestrian,Male,91
"200606N053381",Pedestrian,Female,93
"200606N053408",Motor_Cycle_Rider,Male,33
"200606N054865",Pedestrian,Male,21
"200606N055414",Pedestrian,Male,64
"200606P052226",Pedestrian,Male,24
"200606P052235",Pedestrian,Male,26
"200606P055047",Pedestrian,Male,68
"200606P056793",Pedestrian,Male,44
"200606P061628",Car_Passenger,Female,21
"200606Q042497",Car_Driver,Female,32
"200606Q046323",Car_Driver,Male,22
"200606Q046323",Car_Passenger,Male,24
"200606Q046323",Car_Passenger,Male,26
"200606Q059564",Car_Driver,Female,23
"200606Q062570",Car_Driver,Male,19
"200606X043488",Motor_Cycle_Rider,Male,39
"200606X046192",Car_Driver,Female,38
"200606X050487",Car_Passenger,Female,73
"200606X054773",Pedestrian,Male,52
"200606X055230",Car_Driver,Female,29
"200606X057073",Car_Driver,Male,39
"200606XJ56267",Car_Passenger,Male,22
"200606XM51201",Car_Driver,Male,57
"2006070600165",Pedal Cyclist,Male,61
"2006070600320",Car_Driver,Male,48
"2006070600470",Car_Driver,Male,22
"2006070600515",Pedal Cyclist,Male,50
"2006070600531",Car_Driver,Male,23
"2006070600569",Pedestrian,Female,82
"2006070600621",Van_Driver,Male,43
"2006070600637",Motor_Cycle_Rider,Male,37
"2006070600709",Pedal Cyclist,Male,78
"2006070600743",Car_Driver,Male,30
"2006070600747",Car_Driver,Male,78
"2006070600764",Car_Driver,Male,49
"2006070600809",Pedestrian,Female,82
"2006070600815",Car_Driver,Female,35
"2006070600857",Car_Driver,Male,37
"2006070600954",Motor_Cycle_Rider,Male,30
"2006070601287",Car_Passenger,Female,62
"2006070601313",Car_Passenger,Female,43
"2006070601329",Car_Driver,Female,28
"2006070601354",Car_Driver,Female,22
"2006070601407",Car_Driver,Male,29
"2006070601412",Car_Driver,Male,32
"2006070601749",Motor_Cycle_Rider,Male,50
"2006070601820",Motor_Cycle_Rider,Male,25
"2006070601838",Motor_Cycle_Rider,Male,54
"2006070601882",Car_Driver,Male,51
"2006070601883",Car_Passenger,Female,83
"2006070602009",Car_Driver,Male,26
"2006070602186",Van_Driver,Male,40
"2006070602245",Motor_Cycle_Rider,Male,36
"2006070602311",Motor_Cycle_Rider,Male,30
"2006070602426",Motor_Cycle_Rider,Male,38
"2006070602486",Car_Driver,Male,18
"2006070602486",Car_Driver,Male,41
"2006070602582",Motor_Cycle_Rider,Male,40
"2006070602785",Motor_Cycle_Rider,Male,41
"2006070602941",Motor_Cycle_Rider,Male,41
"2006070603033",Motor_Cycle_Rider,Male,42
"2006070603187",Car_Driver,Female,19
"2006070603210",Car_Passenger,Female,78
"2006070603223",Car_Driver,Male,16
"2006070603347",Motor_Cycle_Rider,Male,31
"2006070603406",Pedestrian,Male,26
"2006070603446",Car_Passenger,Male,68
"2006070603568",Motor_Cycle_Rider,Male,32
"2006070603763",Car_Passenger,Male,34
"2006070603770",Motor_Cycle_Rider,Male,19
"2006070603795",Pedestrian,Male,53
"2006070604002",Car_Driver,Male,31
"2006070604059",Car_Driver,Male,64
"2006070604078",Car_Driver,Male,21
"2006070604136",HGV_Driver,Male,53
"2006070604136",Van_Passenger,Male,53
"2006070604171",Motor_Cycle_Rider,Male,25
"2006070604258",Car_Driver,Male,57
"2006070604297",Car_Driver,Male,Not_Reported
"2006070604364",Car_Passenger,Female,72
"2006070604364",Car_Passenger,Female,71
"2006070604364",Car_Driver,Male,77
"2006070604531",Pedestrian,Male,73
"2006070604857",Motor_Cycle_Rider,Male,25
"2006070605022",Car_Passenger,Male,19
"2006070605022",Car_Passenger,Male,16
"2006070700020",Pedestrian,Male,84
"2006100005406",Car_Driver,Male,25
"2006100011106",Car_Passenger,Male,19
"2006100022406",Pedestrian,Male,47
"2006100046806",Car_Passenger,Male,26
"2006100056906",Pedestrian,Female,83
"2006100075106",Pedestrian,Male,22
"2006100081106",Pedestrian,Male,51
"2006100090906",Pedestrian,Male,84
"2006100093606",Motor_Cycle_Rider,Male,19
"2006100119706",Car_Passenger,Female,42
"2006100124606",Car_Passenger,Male,28
"2006100124606",Car_Driver,Female,22
"2006100124606",Car_Passenger,Male,25
"2006100140106",Pedestrian,Male,49
"2006100141006",Car_Driver,Male,26
"2006100148906",Car_Driver,Male,47
"2006100211806",Car_Driver,Male,23
"2006100212806",Pedestrian,Male,61
"2006100218406",Car_Driver,Male,63
"2006100256706",Motor_Cycle_Rider,Male,17
"2006100292506",Motor_Cycle_Rider,Male,38
"2006100309206",Pedestrian,Male,66
"2006100311206",HGV_Driver,Male,43
"2006100328806",Pedestrian,Female,48
"2006100352006",Car_Driver,Male,21
"2006100352206",Car_Driver,Male,19
"2006100352206",Car_Passenger,Male,19
"2006100389906",Car_Driver,Male,46
"2006100415306",Pedestrian,Male,25
